Pride and Prejudice (Chapter XI), Jane Austen , classic1.txt
Romeo & Juliet (Scene II Capulet's Garden), William Shakespeare, classic2.txt
Moby Dick (Chapter 49 - The Hyena), Herman Melville, classic3.txt
The Tale of Peter Rabbit, Beatrix Potter, children1.txt
The Adventures of Alice in Wonderland (Chapter I Down the Rabbit-Hole), Lewis Carroll, children2.txt
Grimms' Fairy Tales: Rapunzel, The Brothers Grimm, children3.txt
